Ticker,Company Name,Sector,Industry,Exchange,P/BV,P/Tangible BV,P/E,EV/EBITDA,PEG Ratio,P/S,EV/Revenue,EVtoIC,P/Graham Number,P/FCF,P/oFCF,Earnings Yield,Earning Value,COGP,Current Ratio,Quick Ratio,Asset Turnover,Inventory Turnover,Inventory Turnover GR,Days Inventory,Days Inventory GR,Days Payable,Days Payable GR,V score,V warnings
HPQ,HP Inc,Technology,Computer Hardware,NYSE,-21.86,-3.1,10.13,7.44,0,0.46,0.46,1.16,,11.0,8.61,13.78%,48.31%,21.25%,0.8,0.53,1.73,8.07,-3.34% (3GR),45.24,3.46% (3GR),113.47,5.94% (4GR),5.0/12.0,0
FB,"Facebook, Inc",Communication Services,Internet Content & Information,NASDAQ,7.8,7.25,31.17,17.86,0,9.98,6.91,7.42,302.74%,41.09,23.33,5.27%,15.55%,50.05%,4.4,4.28,0.61,0.0,0.00% (3GR),0.0,0.00% (3GR),38.96,11.07% (4GR),4.0/12.0,0
COP,ConocoPhillips,Energy,Oil & Gas E&P,NYSE,1.33,2.01,0.0,4.57,0,2.21,3.57,1.38,,54.02,7.6,1.82%,15.62%,30.40%,2.4,1.94,0.46,22.88,-0.03% (3GR),15.96,0.03% (3GR),50.23,-4.83% (4GR),7.0/12.0,0
CRS,Carpenter Technology Corporation,Industrials,Metal Fabrication,NYSE,0.95,1.03,0.0,11.22,0,0.71,0.86,0.59,,8.52,4.33,1.78%,5000.00%,-31.98%,2.8,1.07,0.68,2.45,2.53% (3GR),149.0,-2.47% (3GR),24.44,-9.55% (4GR),6.5/12.0,0
BEN,"Franklin Resources, Inc",Financial Services,Asset Management,NYSE,1.15,14.32,14.68,10.07,0,2.08,2.13,0.78,88.03%,12.63,11.36,8.83%,62.89%,17.97%,3.14,3.14,0.32,0.0,0.00% (3GR),0.0,0.00% (3GR),81.02,32.15% (4GR),8.5/12.0,0
EGOV,NIC Inc,Technology,Software-Application,NASDAQ,6.59,6.76,26.71,16.93,0,3.99,3.13,21.16,263.13%,30.0,24.18,5.91%,133.33%,26.44%,3.11,2.98,1.05,0.0,0.00% (3GR),0.0,0.00% (3GR),107.65,-5.19% (4GR),4.0/12.0,0
HRB,"H&R Block, Inc",Consumer Cyclical,Personal Services,NYSE,45.0,-2.97,13.79,17.09,0,1.03,1.45,1.46,379.71%,6.43,5.59,11.86%,-2500.00%,18.97%,1.96,1.77,0.63,0.0,0.00% (3GR),0.0,0.00% (3GR),43.28,-5.38% (4GR),5.5/12.0,0
RTX,Raytheon Technologies Corporation,Industrials,Aerospace & Defense,NYSE,2.14,-1.93,0.0,7.53,0,1.07,1.24,0.9,,35.48,17.69,5.93%,15.60%,3.88%,1.08,0.73,0.56,5.43,3.38% (3GR),67.27,-3.27% (3GR),69.14,3.52% (4GR),8.0/12.0,0
INVA,"Innoviva, Inc",Healthcare,Biotechnology,NASDAQ,4.51,5.11,6.45,6.25,0,4.39,5.14,4.49,112.39%,4.79,4.79,18.73%,69.93%,-16.19%,80.29,80.11,0.41,0.0,0.00% (3GR),0.0,0.00% (3GR),0.0,0.00% (4GR),14.5/12.0,1
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers-General,NYSE,6.94,-17.47,24.3,15.8,0,5.1,4.82,3.33,,22.54,19.11,5.12%,17.76%,27.55%,1.26,0.94,0.53,3.13,5.08% (3GR),116.69,-4.83% (3GR),113.17,-0.62% (4GR),4.5/12.0,7
TMO,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research,NYSE,6.28,-12.99,38.18,20.78,0,6.54,5.12,2.84,,32.77,27.15,4.15%,10.91%,5.50%,1.92,1.19,0.45,4.46,-1.61% (3GR),81.85,1.64% (3GR),49.3,11.13% (4GR),6.0/12.0,4
NFLX,"Netflix, Inc",Communication Services,Entertainment,NASDAQ,30.07,-8.64,81.27,12.99,0,9.57,6.55,4.71,881.67%,353.42,206.67,2.62%,24.21%,25.17%,0.9,0.87,0.67,0.0,0.00% (3GR),0.0,0.00% (3GR),19.78,0.23% (4GR),1.5/12.0,0
KODK,Eastman Kodak Company,Industrials,Specialty Business Services,NYSE,1.67,0.9,0.0,12.54,0,0.44,0.13,0.13,,-9.59,0.0,-57.99%,44.84%,-19.84%,1.92,1.2,0.85,4.75,0.99% (3GR),76.79,-0.98% (3GR),52.68,0.50% (4GR),9.0/12.0,2
PVG,Pretium Resources Inc,Basic Materials,Gold,NYSE,2.24,2.17,23.82,12.59,0,3.66,4.32,1.58,154.25%,8.9,7.26,7.31%,454.55%,24.99%,0.48,0.29,0.3,14.17,27.36% (3GR),25.76,7.85% (3GR),39.46,-6.43% (4GR),9.5/12.0,2
APT,"Alpha Pro Tech, Ltd",Industrials,Building Products & Equipment,NYSE MKT,4.73,1.35,7.77,10.15,0,1.84,0.48,1.4,122.95%,8.67,8.22,56.66%,434.78%,-17.07%,11.71,4.85,1.29,2.86,10.11% (3GR),127.75,-9.18% (3GR),12.17,-0.76% (4GR),9.0/12.0,3
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,NYSE,1.41,1.43,17.91,6.15,0,0.51,1.19,0.71,115.03%,-8.43,4.39,2.41%,21.88%,-6.49%,0.88,0.67,0.6,12.2,5.40% (3GR),29.93,-5.13% (3GR),62.24,-4.21% (4GR),7.5/12.0,1
UBER,"Uber Technologies, Inc",Technology,Software-Application,NYSE,6.19,2.66,0.0,-4.6,0,6.76,2.62,1.69,,-19.89,0.0,-14.55%,-14.68%,-6.69%,2.47,2.3,0.51,0.0,0.00% (3GR),0.0,0.00% (3GR),13.77,5.42% (4GR),7.0/12.0,3
NTR,Nutrien Ltd,Basic Materials,Agricultural Inputs,NYSE,1.2,3.15,286.38,10.1,0,1.36,1.83,0.88,646.62%,20.31,9.28,4.42%,58.82%,4.12%,1.17,0.46,0.43,2.95,-14.15% (3GR),123.8,16.50% (3GR),100.52,29.15% (4GR),5.5/12.0,4
CF,"CF Industries Holdings, Inc",Basic Materials,Agricultural Inputs,NYSE,2.89,24.07,29.22,9.01,0,2.05,4.14,1.47,513.25%,8.99,6.73,3.32%,44.84%,15.70%,1.46,0.8,0.37,10.35,5.99% (3GR),35.26,-5.65% (3GR),8.33,-9.19% (4GR),6.0/12.0,3
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,NYSE,1.48,1.84,17.88,11.26,0,0.45,0.54,0.89,128.37%,-6.85,0.0,5.00%,40.98%,-13.52%,1.55,0.44,1.52,6.73,-0.45% (3GR),54.24,0.45% (3GR),22.6,2.70% (4GR),8.0/12.0,2
EVGN,Evogene Ltd,Healthcare,Biotechnology,NASDAQ,2.44,1.2,0.0,-0.35,0,122.2,5.52,0.22,,-6.79,0.0,-452.90%,-142.86%,-512.79%,8.56,8.26,0.01,0.0,0.00% (3GR),0.0,0.00% (3GR),0.0,18.73% (4GR),8.5/12.0,3
ALCO,"Alico, Inc",Consumer Defensive,Farm Products,NASDAQ,1.0,0.93,9.41,6.77,0,2.33,3.79,0.86,66.36%,-10.31,216.58,1.99%,31.65%,-35.90%,2.45,0.39,0.22,1.85,-9.67% (3GR),197.1,10.72% (3GR),19.47,4.28% (4GR),9.5/12.0,2
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,NYSE,0.95,1.02,0.0,-80.8,0,1.05,1.53,0.72,,15.86,5.38,0.25%,-35.97%,-14.52%,1.43,0.58,0.45,3.69,-5.02% (3GR),99.03,5.28% (3GR),30.99,4.96% (4GR),6.5/12.0,2
RFP,Resolute Forest Products Inc,Basic Materials,Paper & Paper Products,NYSE,0.47,inf,0.0,4.28,0,0.21,0.33,0.27,,10.1,4.08,6.15%,-196.08%,-13.57%,2.58,1.0,0.77,4.27,-3.94% (3GR),85.52,4.10% (3GR),42.35,-0.16% (4GR),9.5/12.0,0
IPI,"Intrepid Potash, Inc",Basic Materials,Agricultural Inputs,NYSE,0.72,0.85,0.0,7.95,0,1.59,2.06,0.76,,26.16,10.46,-3.45%,100.00%,-36.26%,1.66,0.52,0.4,2.01,-4.72% (3GR),181.47,4.96% (3GR),20.62,2.74% (4GR),7.5/12.0,3
ICL,ICL Group Ltd,Basic Materials,Agricultural Inputs,NYSE,1.65,1.75,0.0,6.59,0,1.34,1.75,1.05,,40.91,8.53,1.65%,270.27%,-11.90%,1.52,0.75,0.59,2.65,-1.94% (3GR),137.48,1.98% (3GR),75.24,1.35% (4GR),6.5/12.0,3
AGFS,"AgroFresh Solutions, Inc",Consumer Defensive,Farm Products,NASDAQ,0.36,-0.41,0.0,13.26,0,0.69,3.1,0.7,,4.63,4.13,-3.09%,-82.64%,nan%,2.66,2.07,0.2,1.88,-2.03% (3GR),194.67,2.08% (3GR),121.67,-7.26% (4GR),9.5/12.0,1
WLKP,Westlake Chemical Partners LP,Basic Materials,Chemicals,NYSE,0.0,-136.23,12.16,4.06,0,0.84,1.88,1.4,,2.02,1.83,19.81%,56.50%,21.26%,6.14,6.06,0.76,237.33,16.91% (3GR),1.54,-14.47% (3GR),10.77,-12.96% (4GR),11.5/12.0,1
FUBO,fuboTV Inc,Communication Services,Entertainment,NYSE,4.88,-1.36,0.0,-13.25,0,8.83,2.39,0.73,,-13.61,0.0,-61.15%,-63.69%,-287.36%,0.27,0.25,0.01,0.0,0.00% (3GR),0.0,0.00% (3GR),0.0,0.00% (4GR),3.5/12.0,4
BNGO,"Bionano Genomics, Inc",Healthcare,Diagnostics & Research,NASDAQ,55.44,4.65,0.0,-0.83,0,31.68,3.09,0.9,,-6.16,0.0,-162.04%,-50.25%,-197.83%,1.07,0.9,0.37,3.5,-0.69% (3GR),104.29,0.83% (3GR),156.43,15.16% (4GR),4.0/12.0,4
SXC,"SunCoke Energy, Inc",Basic Materials,Coking Coal,NYSE,0.74,0.98,38.89,1158.86,0,0.26,0.82,0.79,91.60%,3.55,1.98,6.99%,-50.51%,10.96%,1.58,0.82,0.84,9.95,5.29% (3GR),36.7,-5.03% (3GR),40.56,4.24% (4GR),8.0/12.0,4
HP,"Helmerich & Payne, Inc",Energy,Oil & Gas Drilling,NYSE,0.82,0.49,0.0,-11.6,0,1.54,0.85,0.37,,6.88,5.08,-5.84%,-21.74%,-10.72%,4.39,3.52,0.33,13.17,-1.99% (3GR),27.72,2.03% (3GR),7.86,-26.69% (4GR),10.5/12.0,1
RIG,Transocean Ltd,Energy,Oil & Gas Drilling,NYSE,0.12,0.37,0.0,24.39,0,0.44,3.78,0.57,,-17.95,5.31,1.29%,-48.78%,52.37%,2.11,1.42,0.12,1.79,6.17% (3GR),203.42,-5.81% (3GR),132.77,-4.00% (4GR),7.5/12.0,2
LNG,"Cheniere Energy, Inc",Energy,Oil & Gas Midstream,NYSE MKT,-1093.4,-173.14,14.68,16.04,0,1.6,4.91,1.47,,-38.27,10.16,7.22%,39.84%,33.63%,2.25,1.58,0.29,18.7,28.70% (3GR),19.51,-22.29% (3GR),4.1,-57.36% (4GR),7.0/12.0,3
INT,World Fuel Services Corporation,Energy,Oil & Gas Refining & Marketing,NYSE,1.07,3.48,11.96,8.18,0,0.08,0.13,1.17,115.08%,4.18,3.68,6.67%,37.17%,-4.98%,1.32,0.97,6.31,63.99,0.54% (3GR),5.7,-0.54% (3GR),26.61,10.58% (4GR),7.5/12.0,1
MMP,"Magellan Midstream Partners, L.P",Energy,Oil & Gas Midstream,NYSE,inf,-129.58,10.48,12.18,0,3.73,6.93,2.18,,15.01,7.78,5.41%,22.42%,59.23%,0.69,0.31,0.34,4.68,-2.50% (3GR),78.06,2.56% (3GR),63.72,1.82% (4GR),5.5/12.0,3
GNE,Genie Energy Ltd,Utilities,Utilities-Regulated Electric,NYSE,2.05,2.63,13.7,16.02,0,0.54,0.45,2.19,149.26%,8.46,8.11,14.99%,1000.00%,-13.61%,1.57,1.12,2.08,17.19,1.49% (3GR),21.24,-1.45% (3GR),37.76,1.90% (4GR),9.5/12.0,2
KMI,"Kinder Morgan, Inc",Energy,Oil & Gas Midstream,NYSE,0.92,4.65,263.54,10.6,0,2.59,6.55,1.05,625.40%,10.29,6.3,4.56%,104.17%,49.15%,0.63,0.49,0.17,15.01,0.44% (3GR),24.32,-0.44% (3GR),58.8,-3.87% (4GR),3.5/12.0,4
COG,Cabot Oil & Gas Corporation,Energy,Oil & Gas E&P,NYSE,3.03,3.28,30.34,5.96,0,4.42,5.52,1.97,206.45%,74.82,8.88,3.52%,61.35%,36.49%,1.73,1.64,0.48,84.56,4.01% (3GR),4.32,-3.86% (3GR),7.6,-3.60% (4GR),6.5/12.0,3
SBR,Sabine Royalty Trust,Energy,Oil & Gas E&P,NYSE,70.17,92.68,10.92,12.64,0,10.27,13.56,79.44,579.10%,0.0,0.0,6.83%,33.11%,-6.09%,5.32,5.32,5.73,0.0,0.00% (3GR),0.0,0.00% (3GR),0.0,0.00% (4GR),10.5/12.0,3
