Ticker,Company Name,Sector,Industry,Exchange,Cash/Debt,Interest Coverage,Equity/Assets,Debt/Equity,Debt/Assets,Debt/EBITDA,F-Score,Z-Score,M-Score,WACC,RoC,FS score,FS warnings
ASC,Ardmore Shipping Corporation,Industrials,Marine Shipping,NYSE,0.25,0.67,42.23%,63.50%,0.00%,608.82%,8,0.33,-2.97,5.83%,2.14%,2.5/8.0,3
STLD,"Steel Dynamics, Inc",Basic Materials,Steel,NASDAQ,0.6,7.77,49.25%,67.08%,36.48%,206.50%,4,3.95,-2.84,7.89%,13.45%,5.5/8.0,0
WOR,"Worthington Industries, Inc",Industrials,Metal Fabrication,NYSE,0.21,3.59,35.21%,85.26%,38.31%,297.87%,6,3.26,-3.41,6.50%,4.55%,3.0/8.0,3
TX,Ternium S.A,Basic Materials,Steel,NYSE,0.45,9.83,51.11%,24.64%,13.44%,103.36%,4,2.67,-2.8,6.89%,5.92%,4.0/8.0,1
IIIN,"Insteel Industries, Inc",Industrials,Metal Fabrication,NASDAQ,inf,,78.40%,0.00%,0.00%,0.00%,6,7.14,-2.66,9.97%,8.50%,4.75/8.0,1
CMC,Commercial Metals Company,Basic Materials,Steel,NYSE,0.5,7.1,46.28%,57.38%,27.07%,181.27%,5,3.4,-3.06,6.79%,11.35%,4.5/8.0,0
NRG,"NRG Energy, Inc",Utilities,Utilities-Independent Power Producers,NYSE,0.06,3.17,13.23%,355.31%,52.77%,354.45%,7,1.42,-1.09,6.55%,13.57%,3.0/8.0,3
VST,Vistra Corp,Utilities,Utilities-Independent Power Producers,NYSE,0.03,3.53,29.90%,140.46%,52.44%,305.77%,6,0.88,-2.59,5.23%,5.98%,3.0/8.0,3
SPKE,"Spark Energy, Inc",Utilities,Utilities-Regulated Electric,NASDAQ,0.46,2.67,33.33%,87.23%,43.16%,173.24%,6,2.62,-3.96,5.21%,4.93%,2.0/8.0,1
ARTNA,Artesian Resources Corporation,Utilities,Utilities-Regulated Water,NASDAQ,0.01,3.57,28.57%,95.62%,0.00%,402.63%,5,0.85,-2.4,1.67%,3.38%,1.25/8.0,3
PICO,"PICO Holdings, Inc",Utilities,Utilities-Regulated Water,NASDAQ,inf,,98.34%,0.00%,0.00%,0.00%,7,34.79,-2.32,6.75%,7.27%,6.25/8.0,0
NWPX,Northwest Pipe Company,Industrials,Metal Fabrication,NASDAQ,inf,,80.00%,0.00%,0.00%,0.00%,7,5.12,-2.79,5.85%,10.06%,7.0/8.0,0
RADA,RADA Electronic Industries Ltd,Industrials,Aerospace & Defense,NASDAQ,inf,No Debt,63.08%,0.00%,0.00%,-0.00%,5,10.4,,7.22%,-6.56%,5.0/8.0,1
PFE,Pfizer Inc,Healthcare,Drug Manufacturers-General,NYSE,0.19,8.84,37.70%,82.58%,70.98%,206.38%,5,2.53,-2.39,4.31%,8.49%,2.75/8.0,2
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,NYSE,0.12,3.95,28.71%,107.23%,62.49%,417.48%,6,1.89,-2.34,3.20%,4.67%,2.25/8.0,2
GME,GameStop Corp,Consumer Cyclical,Specialty Retail,NYSE,1.19,Exposed,21.70%,68.63%,0.00%,-143.84%,5,5.36,-2.18,8.82%,-0.76%,4.5/8.0,3
AMC,"AMC Entertainment Holdings, Inc",Communication Services,Entertainment,NYSE,0.06,0.69,8.88%,391.52%,54.68%,767.85%,3,0.2,-2.71,4.40%,2.00%,1.75/8.0,5
ORCL,Oracle Corporation,Technology,Software-Infrastructure,NYSE,0.6,7.12,10.46%,592.98%,105.40%,420.52%,7,2.04,-2.58,4.63%,14.89%,2.75/8.0,4
HCC,"Warrior Met Coal, Inc",Basic Materials,Coking Coal,NYSE,0.61,13.21,56.99%,44.26%,25.22%,68.62%,5,,-3.58,7.93%,30.28%,5.0/8.0,0
GPP,Green Plains Partners LP,Energy,Oil & Gas Midstream,NASDAQ,0.0,,0.00%,0.00%,138.95%,249.06%,5,1.08,-2.53,5.40%,31.65%,2.25/8.0,3
NOA,North American Construction Group Ltd,Energy,Oil & Gas Equipment & Services,NYSE,0.02,2.81,22.70%,184.44%,41.87%,203.68%,8,1.17,-2.6,6.52%,8.08%,3.75/8.0,3
PDS,Precision Drilling Corporation,Energy,Oil & Gas Drilling,NYSE,0.05,0.39,46.70%,93.45%,44.07%,325.06%,6,0.16,-3.52,11.08%,1.42%,3.5/8.0,3
BNTX,BioNTech SE,Healthcare,Biotechnology,NASDAQ,inf,No Debt,61.78%,0.00%,0.00%,-0.00%,3,48.68,-2.61,0.75%,-57.02%,5.0/8.0,1
PACB,"Pacific Biosciences of California, Inc",Healthcare,Diagnostics & Research,NASDAQ,3.06,No Debt,37.16%,29.09%,10.81%,-22.22%,6,14.75,-2.85,8.67%,-139.31%,6.0/8.0,1
NVS,Novartis AG,Healthcare,Drug Manufacturers-General,NYSE,0.32,11.02,42.86%,63.34%,54.94%,207.67%,4,2.22,-2.71,3.74%,7.32%,3.5/8.0,1
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers-General,NYSE,0.33,9.01,39.71%,90.57%,107.46%,633.50%,4,1.86,-1.9,4.18%,5.87%,1.0/8.0,5
ONVO,"Organovo Holdings, Inc",Healthcare,Diagnostics & Research,NASDAQ,inf,No Debt,96.43%,0.00%,0.00%,-0.00%,3,12.75,-5.18,5.79%,-700.00%,6.0/8.0,2
INCY,Incyte Corporation,Healthcare,Biotechnology,NASDAQ,117.67,,75.81%,0.69%,0.58%,3.31%,2,14.88,-2.91,6.48%,34.84%,8.0/8.0,1
IONS,"Ionis Pharmaceuticals, Inc",Healthcare,Biotechnology,NASDAQ,3.17,7.47,45.50%,53.57%,24.57%,191.26%,6,3.97,-0.33,9.01%,48.09%,3.75/8.0,1
BEAM,Beam Therapeutics Inc,Healthcare,Biotechnology,NASDAQ,18.4,,64.74%,4.95%,3.21%,-6.67%,2,41.63,-0.96,0.75%,-130.43%,4.5/8.0,3
