Ticker,Company Name,Sector,Industry,Exchange,Cash/Debt,Interest Coverage,Equity/Assets,Debt/Equity,Debt/Assets,Debt/EBITDA,F-Score,Z-Score,M-Score,WACC,RoC,FS score,FS warnings
RTX,Raytheon Technologies Corporation,Industrials,Aerospace & Defense,NYSE,0.17,5.06,29.90%,104.49%,66.53%,316.31%,5,1.91,-2.7,5.40%,5.78%,3.5/8.0,0
INVA,"Innoviva, Inc",Healthcare,Biotechnology,NASDAQ,0.93,12.95,43.17%,120.45%,52.00%,142.26%,6,2.33,-3.17,4.57%,50.69%,3.5/8.0,1
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers-General,NYSE,0.7,63.14,37.70%,46.57%,36.23%,112.33%,5,4.51,-2.62,4.55%,15.25%,4.0/8.0,1
TMO,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research,NYSE,0.14,6.18,50.83%,59.82%,95.17%,252.77%,9,5.18,-2.56,5.66%,7.49%,4.75/8.0,1
NFLX,"Netflix, Inc",Communication Services,Entertainment,NASDAQ,0.34,4.16,22.32%,194.66%,155.83%,122.91%,3,6.14,-1.48,6.26%,8.59%,3.0/8.0,3
KODK,Eastman Kodak Company,Industrials,Specialty Business Services,NYSE,2.2,Exposed,19.86%,37.72%,7.82%,963.64%,6,1.14,-2.06,23.68%,-5.80%,3.0/8.0,4
PVG,Pretium Resources Inc,Basic Materials,Gold,NYSE,0.06,3.77,60.65%,41.61%,0.00%,198.50%,8,2.47,-1.97,6.41%,4.09%,3.5/8.0,3
APT,"Alpha Pro Tech, Ltd",Industrials,Building Products & Equipment,NYSE MKT,inf,,86.84%,0.00%,0.00%,0.00%,4,22.2,-2.39,-6.80%,9.06%,5.75/8.0,0
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,NYSE,0.22,7.01,18.33%,247.23%,46.40%,462.59%,5,0.97,-2.7,3.88%,2.58%,1.25/8.0,4
UBER,"Uber Technologies, Inc",Technology,Software-Application,NYSE,1.98,Exposed,44.68%,40.22%,18.10%,-77.10%,3,2.08,-2.88,1.22%,-46.22%,3.0/8.0,3
NTR,Nutrien Ltd,Basic Materials,Agricultural Inputs,NYSE,0.07,3.82,48.87%,43.86%,30.97%,273.62%,5,1.48,-2.64,5.12%,3.95%,2.0/8.0,3
CF,"CF Industries Holdings, Inc",Basic Materials,Agricultural Inputs,NYSE,0.07,4.17,23.80%,136.59%,40.81%,211.49%,7,1.37,-2.95,6.86%,6.80%,3.5/8.0,3
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,NYSE,0.1,4.11,43.66%,46.24%,23.05%,297.72%,6,3.06,-1.56,5.44%,3.99%,2.0/8.0,3
EVGN,Evogene Ltd,Healthcare,Biotechnology,NASDAQ,inf,No Debt,70.42%,0.00%,0.00%,-0.00%,3,0.13,0.89,4.83%,-135.48%,4.0/8.0,3
ALCO,"Alico, Inc",Consumer Defensive,Farm Products,NASDAQ,0.02,1.17,50.94%,69.44%,0.00%,288.46%,3,1.66,2.52,4.03%,1.34%,1.0/8.0,5
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,NYSE,0.11,1.7,47.60%,50.24%,0.00%,-2939.49%,3,1.79,-2.51,9.06%,2.08%,2.25/8.0,4
RFP,Resolute Forest Products Inc,Basic Materials,Paper & Paper Products,NYSE,0.01,1.06,34.03%,35.82%,12.35%,211.48%,6,0.66,-2.55,5.77%,-4.22%,3.25/8.0,3
IPI,"Intrepid Potash, Inc",Basic Materials,Agricultural Inputs,NYSE,0.3,5.33,75.26%,16.09%,0.00%,137.25%,4,1.36,-2.75,12.81%,3.17%,3.5/8.0,3
ICL,ICL Group Ltd,Basic Materials,Agricultural Inputs,NYSE,0.13,3.44,42.79%,58.62%,26.52%,179.63%,3,2.22,-3.06,4.82%,7.33%,4.0/8.0,2
AGFS,"AgroFresh Solutions, Inc",Consumer Defensive,Farm Products,NASDAQ,0.07,Exposed,40.45%,123.62%,238.46%,1033.33%,4,,-2.86,8.16%,-3.81%,1.0/8.0,6
WLKP,Westlake Chemical Partners LP,Basic Materials,Chemicals,NYSE,0.05,17.5,0.00%,0.00%,0.00%,86.77%,7,2.19,-4.25,7.00%,25.61%,3.5/8.0,1
FUBO,fuboTV Inc,Communication Services,Entertainment,NYSE,0.16,Exposed,54.62%,24.88%,217.39%,-250.00%,2,2.85,-5.63,16.80%,-9.05%,4.0/8.0,4
BNGO,"Bionano Genomics, Inc",Healthcare,Diagnostics & Research,NASDAQ,0.85,No Debt,13.33%,500.00%,0.00%,-76.92%,4,-2.55,,18.08%,-173.33%,2.0/8.0,4
SXC,"SunCoke Energy, Inc",Basic Materials,Coking Coal,NYSE,0.12,1.72,28.05%,159.15%,45.63%,78300.00%,7,1.22,-3.17,7.32%,6.41%,3.0/8.0,3
HP,"Helmerich & Payne, Inc",Energy,Oil & Gas Drilling,NYSE,1.2,Exposed,68.72%,14.49%,10.23%,-370.00%,2,2.43,-2.94,12.74%,-1.89%,5.25/8.0,3
RIG,Transocean Ltd,Energy,Oil & Gas Drilling,NYSE,0.19,Exposed,49.21%,78.07%,0.00%,1837.50%,4,0.11,-2.53,8.73%,-0.45%,1.75/8.0,5
LNG,"Cheniere Energy, Inc",Energy,Oil & Gas Midstream,NYSE MKT,0.08,1.68,-0.04%,-219814.29%,0.00%,1050.67%,8,0.56,-2.33,6.58%,7.71%,2.75/8.0,2
