Name,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/Free Cash Flow,Dividend Yield,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Float Short,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Analyst Recom,Change,Stocks
Entertainment,1130.24419,53.32,28.64,1.86,3.18,3.7,17.09,34.99,0.0046,0.142,0.287,0.14880000000000002,0.049400000000000006,0.018799999999999997,0.12210000000000001,0.1333,0.2429,0.22760000000000002,0.1986,2.14,-0.0062,42
Engineering & Construction,116.16589,37.8,16.63,3.43,0.82,2.28,11.36,15.07,0.0095,0.09910000000000001,0.1101,0.0915,0.0276,0.0115,0.1048,0.2165,0.36200000000000004,0.2241,0.2163,2.01,0.005,37
Electronics & Computer Distribution,12.28499,25.0,11.89,5.33,0.24,1.28,13.28,5.85,0.006999999999999999,-0.1595,0.046900000000000004,0.0301,0.024300000000000002,0.0366,0.1305,0.1978,0.2168,-0.0046,-0.0329,2.83,-0.008100000000000001,7
Electronic Gaming & Multimedia,255.50498000000002,62.21,44.49,3.26,9.96,8.32,10.97,46.42,0.002,-0.15439999999999998,0.1906,0.34049999999999997,0.0701,0.0978,0.11449999999999999,0.2281,0.457,1.1871,1.0524,2.01,0.022400000000000003,19
Electronic Components,149.57695999999999,62.64,20.25,7.06,1.34,3.56,12.44,34.88,0.011899999999999999,-0.047400000000000005,0.08869999999999999,0.0463,0.015700000000000002,0.0246,0.11380000000000001,0.2323,0.3411,0.2743,0.2207,2.16,0.0036,36
Electrical Equipment & Parts,65.41062000000001,42.05,21.36,2.62,2.2,4.34,13.88,23.49,0.0083,0.0931,0.1605,0.1209,0.0815,0.0705,0.30760000000000004,0.45770000000000005,0.5497,0.49219999999999997,0.43560000000000004,2.23,0.0519,32
Education & Training Services,125.52777999999999,80.29,27.21,3.22,5.04,5.62,8.32,72.22,0.0008,-0.023399999999999997,0.2493,0.2953,0.0565,-0.013300000000000001,-0.0429,-0.0271,0.1197,0.3661,0.3155,1.99,-0.012199999999999999,43
Drug Manufacturers-Specialty & Generic,286.25201,44.66,15.31,6.27,3.85,2.46,18.76,42.16,0.011200000000000002,-0.0206,0.0712,0.0797,0.0545,0.026699999999999998,0.0525,0.0874,0.0946,0.0738,0.0455,2.08,0.0125,85
Drug Manufacturers-General,2282.22667,22.68,13.39,3.11,4.28,5.25,14.93,37.21,0.031,0.0716,0.073,0.0348,0.0074,0.0206,0.0471,0.0239,0.0223,0.0582,0.0209,2.0,0.0105,18
Discount Stores,771.5412299999999,23.84,25.54,2.76,0.87,5.89,20.02,21.72,0.011899999999999999,0.053899999999999997,0.0863,0.0408,0.022400000000000003,-0.026000000000000002,0.0218,0.0906,0.2446,0.2846,0.2854,2.01,0.0062,9
Diagnostics & Research,845.45859,50.47,28.52,3.61,5.59,5.92,29.32,42.56,0.0017000000000000001,0.15810000000000002,0.1396,0.18420000000000003,0.057800000000000004,0.0129,-0.026600000000000002,0.1435,0.266,0.4282,0.3859,1.96,0.0055000000000000005,82
Department Stores,18.9479,173.34,17.07,,0.28,1.73,3.31,16.45,0.0028000000000000004,-0.0771,-0.0187,-0.0001,0.2657,0.1043,0.6681,0.6208,0.4499,-0.22940000000000002,-0.2767,2.9,0.0068000000000000005,5
Credit Services,1342.52217,39.02,24.25,3.18,5.74,5.64,6.35,18.97,0.0075,0.1936,0.1229,0.1125,0.0218,0.0049,0.0934,0.0795,0.1441,0.21050000000000002,0.1801,1.93,-0.0016,55
Copper,84.58578999999999,52.72,16.59,6.01,3.66,3.21,14.29,36.48,0.021400000000000002,0.16469999999999999,0.0877,-0.0025,0.022799999999999997,0.0194,0.17120000000000002,0.36619999999999997,0.7445,0.72,0.5819,2.87,0.0069,4
Consumer Electronics,2256.29183,34.65,28.06,2.82,5.91,17.87,16.37,32.56,0.006500000000000001,0.0909,0.12269999999999999,0.031400000000000004,0.0069,0.012199999999999999,0.048,0.0676,0.40509999999999996,0.8294,0.6707,1.96,0.0048,14
Consulting Services,179.68303,46.4,28.76,3.8,4.41,5.54,21.23,41.15,0.009899999999999999,0.043,0.122,0.0572,0.027000000000000003,0.0147,0.0377,0.09609999999999999,0.13390000000000002,0.1966,0.1789,2.34,0.011399999999999999,15
Conglomerates,22.776169999999997,106.55,36.45,34.96,0.4,1.98,3.57,16.15,0.0873,-0.10869999999999999,0.0305,-0.0754,0.012,0.020499999999999997,0.0326,0.10880000000000001,0.058499999999999996,-0.1507,-0.1642,1.32,-0.0034999999999999996,16
Confectioners,115.85749,26.89,21.68,3.96,3.34,3.93,28.0,41.61,0.021400000000000002,0.133,0.0679,-0.0353,0.012,-0.0013,0.0334,0.0148,0.09539999999999998,0.0527,0.0461,2.05,0.0003,4
Computer Hardware,205.08996,23.05,12.52,3.44,0.9,4.13,12.84,17.23,0.0159,0.1485,0.06709999999999999,0.083,0.0371,0.047400000000000005,0.146,0.23010000000000003,0.26,0.18420000000000003,0.1246,2.41,0.013300000000000001,26
Communication Equipment,387.63199,24.64,15.0,2.43,2.13,3.62,5.78,22.39,0.0225,0.0839,0.1014,0.0382,0.018600000000000002,0.0254,0.1393,0.1463,0.0447,0.08109999999999999,0.020499999999999997,2.32,0.0046,65
Coking Coal,1.51328,56.47,9.63,8.02,0.64,1.12,4.77,9.14,0.0187,0.17300000000000001,0.0704,0.013000000000000001,0.035,0.11869999999999999,0.23800000000000002,0.2729,0.23399999999999999,-0.09230000000000001,-0.1014,2.23,0.021099999999999997,3
Chemicals,210.62628,47.31,19.91,8.39,1.68,2.48,12.53,18.63,0.0253,0.0555,0.0564,-0.0001,0.0155,0.0049,0.0441,0.0828,0.2195,0.096,0.0748,2.32,0.0115,21
Capital Markets,459.53558000000004,16.0,14.96,3.97,1.97,1.65,1.35,13.44,0.016399999999999998,0.18760000000000002,0.0403,0.0967,0.012199999999999999,0.0181,0.1663,0.2268,0.2245,0.1752,0.1558,2.32,-0.0001,44
Business Equipment & Supplies,22.0834,25.87,17.87,3.01,0.76,3.82,8.51,14.59,0.0194,0.038,0.0859,0.023,0.0507,0.0348,0.1144,0.3455,0.2614,-0.0165,-0.006999999999999999,2.23,0.0029,10
Building Products & Equipment,125.15850999999999,29.81,18.1,2.4,1.39,4.55,10.66,16.83,0.006999999999999999,0.1561,0.1242,0.09630000000000001,0.030299999999999997,0.0046,0.0217,0.12359999999999999,0.34259999999999996,0.3696,0.3471,2.25,0.0001,32
Building Materials,102.077,26.23,22.64,2.55,1.48,2.1,5.48,13.42,0.0141,0.1746,0.10279999999999999,0.050199999999999995,0.0105,0.0166,0.1002,0.2254,0.2952,0.0895,0.0587,2.14,-0.0070999999999999995,14
Broadcasting,179.66047,25.1,24.12,1.95,1.8,1.86,12.32,19.08,0.0077,-0.09519999999999999,0.1285,0.046900000000000004,0.063,0.0148,0.1459,0.1714,0.14550000000000002,-0.046900000000000004,-0.0836,2.13,0.0026,30
Biotechnology,1065.3064,96.26,36.38,5.49,19.89,6.43,8.09,84.66,0.0004,0.09449999999999999,0.1753,0.44439999999999996,0.0814,0.0393,0.1424,0.23600000000000002,0.19079999999999997,0.4302,0.3948,2.03,0.0217,596
Beverages-Wineries & Distilleries,179.23710999999997,43.89,26.43,5.38,5.84,7.76,31.47,107.77,0.0196,-0.0703,0.0816,0.0285,0.009899999999999999,0.0042,0.11939999999999999,0.09369999999999999,0.12710000000000002,0.0834,0.0351,2.12,-0.0060999999999999995,6
Beverages-Non-Alcoholic,551.1817900000001,28.96,24.17,4.97,3.64,7.57,14.88,81.51,0.0264,0.035699999999999996,0.0583,0.013500000000000002,0.0137,0.0098,0.0758,0.060899999999999996,0.10980000000000001,0.0504,0.0373,2.09,0.0014000000000000002,15
Beverages-Brewers,210.57801,55.46,22.08,4.87,2.44,2.27,25.6,67.12,0.0232,0.1067,0.114,0.053899999999999997,0.013600000000000001,0.023399999999999997,0.2073,0.24239999999999998,0.22190000000000001,-0.1462,-0.1856,2.38,-0.0005,6
Banks-Regional,1170.6896100000001,15.4,13.43,3.19,3.52,1.09,0.55,16.35,0.0256,0.10980000000000001,0.0483,0.10869999999999999,0.008,0.018799999999999997,0.1858,0.2926,0.2082,-0.13720000000000002,-0.1641,2.26,-0.002,369
Banks-Diversified,1756.65435,16.13,11.93,60.09,2.76,0.86,0.14,3.13,0.0315,0.1421,0.0027,0.060599999999999994,0.0037,0.0163,0.2182,0.19760000000000003,0.13119999999999998,-0.1446,-0.172,2.31,-0.0021,22
Auto Parts,150.29934,32.02,16.55,2.95,0.89,2.82,8.49,20.0,0.006500000000000001,0.0304,0.1084,0.0278,0.0346,0.0593,0.2273,0.2875,0.4678,0.2419,0.21739999999999998,2.27,0.018000000000000002,43
Auto Manufacturers,1215.76648,43.71,28.05,4.56,1.86,2.65,5.61,31.45,0.006999999999999999,-0.0707,0.0958,0.316,0.0339,0.055099999999999996,0.2772,0.4891,0.899,1.3163999999999998,1.2302,2.16,0.0102,21
Auto & Truck Dealerships,48.5749,19.58,13.49,1.8,0.45,2.67,15.94,9.52,0.0048,0.1405,0.1085,0.0786,0.0639,-0.0014000000000000002,0.043,-0.006500000000000001,0.2528,0.1074,0.17059999999999997,1.95,-0.014199999999999999,15
Asset Management,626.96772,26.57,16.75,2.98,3.79,2.2,1.87,38.51,0.0311,0.08109999999999999,0.0892,0.10880000000000001,0.029300000000000003,0.030899999999999997,0.1383,0.21100000000000002,0.1588,0.1124,0.0965,2.19,0.0053,215
Apparel Retail,221.15134,111.34,25.48,14.69,1.9,9.96,8.12,27.93,0.0024,0.1463,0.0758,0.0886,0.0536,0.0137,0.17600000000000002,0.20350000000000001,0.22899999999999998,0.1661,0.1497,1.99,-0.0003,28
Apparel Manufacturing,97.68961,138.14,22.5,24.91,1.78,4.47,9.36,31.72,0.012199999999999999,-0.053399999999999996,0.0555,0.022099999999999998,0.0547,0.055999999999999994,0.2736,0.3626,0.41759999999999997,-0.052199999999999996,-0.1065,2.49,0.0083,25
Aluminum,17.3403,,69.92,,0.38,1.03,3.34,15.8,0.0022,-0.0149,0.2633,0.0327,0.0177,-0.015700000000000002,0.5364,0.5472,0.7141,0.1131,0.0489,2.63,-0.0063,5
Airports & Air Services,22.91837,60.84,15.29,17.15,1.98,1.41,3.91,8.26,0.0248,0.07200000000000001,0.0355,0.158,0.0392,0.0097,0.23309999999999997,0.3436,0.2494,-0.1066,-0.1773,2.44,0.002,7
Airlines,154.82295000000002,,164.74,,1.07,2.15,2.0,58.99,0.0031,0.19640000000000002,0.1317,0.0529,0.0738,0.0512,0.29460000000000003,0.2607,0.2994,-0.1805,-0.2041,2.35,-0.0053,18
Agricultural Inputs,104.77421000000001,55.7,20.33,8.47,1.72,1.61,21.34,41.49,0.0212,0.025699999999999997,0.0658,0.0526,0.011200000000000002,0.0113,0.18899999999999997,0.24739999999999998,0.3005,0.2041,0.1307,2.25,0.0073,16
Aerospace & Defense,634.83849,38.54,22.7,4.8,1.82,4.17,10.01,44.75,0.0144,0.0222,0.0802,0.0629,0.0313,0.0398,0.1945,0.16879999999999998,0.0535,-0.1388,-0.1247,2.26,0.0017000000000000001,49
Advertising Agencies,51.79357,31.44,12.57,8.56,0.95,2.1,6.97,21.68,0.0262,0.0178,0.036699999999999997,0.0898,0.0381,0.0297,0.25989999999999996,0.2504,0.18460000000000001,-0.15539999999999998,-0.1898,2.89,-0.0011,28
