Ticker,Company Name,Sector,Industry,Exchange,Currency,Price,Market Cap (Millions),Beta,P/Graham Number,Earnings Yield,F-Score,Z-Score,M-Score,P/BV,P/E,EV/EBITDA,P/Operating CF,PEG Ratio,P/S,EV/Revenue,Debt/Equity,Interest Coverage,Dividend Yield,Payout Ratio,RoA,RoE,RoC,WACC,Profit Margin,Current Ratio,Quick Ratio,Asset Turnover,Inventory Turnover,Financial Score,Profitability Score,Valuation Score,Warnings
PVG,Pretium Resources Inc,Basic Materials,Gold,NYSE,USD,10.51,2135.28,1.04,154.25%,7.31%,8,2.47,-1.97,2.24,23.82,12.59,7.26,0,3.66,4.32,0.42,3.77,0.00%,0.00%,2.57%,4.41%,4.09%,6.41%,8.44%,0.48,0.29,0.3,14.17,3.5/8.0,9.5/9.0,9.5/12.0,6
APT,"Alpha Pro Tech, Ltd",Industrials,Building Products & Equipment,NYSE MKT,USD,13.31,156.1,-1.27,122.95%,56.66%,4,22.2,-2.39,4.73,7.77,10.15,8.22,0,1.84,0.48,0.0,,0.00%,0.00%,8.29%,9.17%,9.06%,-6.80%,6.43%,11.71,4.85,1.29,2.86,5.75/8.0,6.0/9.0,9.0/12.0,8
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,NYSE,USD,41.01,59013.39,1.47,115.03%,2.41%,5,0.97,-2.7,1.41,17.91,6.15,4.39,0,0.51,1.19,2.47,7.01,1.85%,34.00%,2.89%,16.32%,2.58%,3.88%,4.80%,0.88,0.67,0.6,12.2,1.25/8.0,4.0/9.0,7.5/12.0,12
UBER,"Uber Technologies, Inc",Technology,Software-Application,NYSE,USD,50.62,87775.08,0.0,,-14.55%,3,2.08,-2.88,6.19,0.0,-4.6,0.0,0,6.76,2.62,0.4,Exposed,nan%,nan%,-30.52%,-69.37%,-46.22%,1.22%,-60.13%,2.47,2.3,0.51,0.0,3.0/8.0,2.0/9.0,7.0/12.0,16
NTR,Nutrien Ltd,Basic Materials,Agricultural Inputs,NYSE,USD,52.7,27499.36,0.75,646.62%,4.42%,5,1.48,-2.64,1.2,286.38,10.1,9.28,0,1.36,1.83,0.44,3.82,3.42%,0.00%,2.15%,4.20%,3.95%,5.12%,4.95%,1.17,0.46,0.43,2.95,2.0/8.0,3.5/9.0,5.5/12.0,16
CF,"CF Industries Holdings, Inc",Basic Materials,Agricultural Inputs,NYSE,USD,43.4,8361.36,1.27,513.25%,3.32%,7,1.37,-2.95,2.89,29.22,9.01,6.73,0,2.05,4.14,1.37,4.17,2.76%,90.20%,3.97%,16.84%,6.80%,6.86%,10.74%,1.46,0.8,0.37,10.35,3.5/8.0,4.5/9.0,6.0/12.0,13
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,NYSE,USD,52.82,28431.24,0.85,128.37%,5.00%,6,3.06,-1.56,1.48,17.88,11.26,0.0,0,0.45,0.54,0.46,4.11,2.71%,50.70%,3.25%,7.22%,3.99%,5.44%,2.13%,1.55,0.44,1.52,6.73,2.0/8.0,1.0/9.0,8.0/12.0,17
EVGN,Evogene Ltd,Healthcare,Biotechnology,NASDAQ,USD,6.42,122.2,0.55,,-452.90%,3,0.13,0.89,2.44,0.0,-0.35,0.0,0,122.2,5.52,0.0,No Debt,0.00%,0.00%,-27.85%,-36.15%,-135.48%,4.83%,0.00%,8.56,8.26,0.01,0.0,4.0/8.0,3.0/9.0,8.5/12.0,14
ALCO,"Alico, Inc",Consumer Defensive,Farm Products,NASDAQ,USD,30.94,216.58,0.68,66.36%,1.99%,3,1.66,2.52,1.0,9.41,6.77,216.58,0,2.33,3.79,0.69,1.17,1.16%,11.40%,5.62%,11.52%,1.34%,4.03%,25.58%,2.45,0.39,0.22,1.85,1.0/8.0,4.0/9.0,9.5/12.0,15
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,NYSE,USD,28.33,8720.79,1.81,,0.25%,3,1.79,-2.51,0.95,0.0,-80.8,5.38,0,1.05,1.53,0.5,1.7,0.71%,0.00%,-5.42%,-10.90%,2.08%,9.06%,-11.98%,1.43,0.58,0.45,3.69,2.25/8.0,0.5/9.0,6.5/12.0,19
RFP,Resolute Forest Products Inc,Basic Materials,Paper & Paper Products,NYSE,USD,8.15,575.52,3.45,,6.15%,6,0.66,-2.55,0.47,0.0,4.28,4.08,0,0.21,0.33,0.36,1.06,0.00%,0.00%,-1.24%,-3.40%,-4.22%,5.77%,-1.61%,2.58,1.0,0.77,4.27,3.25/8.0,4.5/9.0,9.5/12.0,12
IPI,"Intrepid Potash, Inc",Basic Materials,Agricultural Inputs,NYSE,USD,25.33,313.95,2.27,,-3.45%,4,1.36,-2.75,0.72,0.0,7.95,10.46,0,1.59,2.06,0.16,5.33,0.00%,0.00%,2.47%,3.20%,3.17%,12.81%,6.19%,1.66,0.52,0.4,2.01,3.5/8.0,5.0/9.0,7.5/12.0,14
ICL,ICL Group Ltd,Basic Materials,Agricultural Inputs,NYSE,USD,5.42,6464.0,0.52,,1.65%,3,2.22,-3.06,1.65,0.0,6.59,8.53,0,1.34,1.75,0.59,3.44,2.03%,0.00%,5.29%,12.33%,7.33%,4.82%,9.01%,1.52,0.75,0.59,2.65,4.0/8.0,5.0/9.0,6.5/12.0,11
AGFS,"AgroFresh Solutions, Inc",Consumer Defensive,Farm Products,NASDAQ,USD,1.96,115.77,1.13,,-3.09%,4,,-2.86,0.36,0.0,13.26,4.13,0,0.69,3.1,1.24,Exposed,0.00%,0.00%,-7.14%,-17.61%,-3.81%,8.16%,-35.77%,2.66,2.07,0.2,1.88,1.0/8.0,2.0/9.0,9.5/12.0,18
WLKP,Westlake Chemical Partners LP,Basic Materials,Chemicals,NYSE,USD,23.82,834.4,1.26,,19.81%,7,2.19,-4.25,0.0,12.16,4.06,1.83,0,0.84,1.88,0.0,17.5,7.89%,96.40%,4.27%,24.72%,25.61%,7.00%,5.59%,6.14,6.06,0.76,237.33,3.5/8.0,5.5/9.0,11.5/12.0,6
FUBO,fuboTV Inc,Communication Services,Entertainment,NYSE,USD,37.72,980.0,2.73,,-61.15%,2,2.85,-5.63,4.88,0.0,-13.25,0.0,0,8.83,2.39,0.25,Exposed,0.00%,0.00%,-39.91%,-70.30%,-9.05%,16.80%,0.00%,0.27,0.25,0.01,0.0,4.0/8.0,3.0/9.0,3.5/12.0,18
BNGO,"Bionano Genomics, Inc",Healthcare,Diagnostics & Research,NASDAQ,USD,9.8,221.76,2.93,,-162.04%,4,-2.55,,55.44,0.0,-0.83,0.0,0,31.68,3.09,5.0,No Debt,0.00%,0.00%,-108.40%,-433.64%,-173.33%,18.08%,-294.34%,1.07,0.9,0.37,3.5,2.0/8.0,3.0/9.0,4.0/12.0,19
SXC,"SunCoke Energy, Inc",Basic Materials,Coking Coal,NYSE,USD,5.61,365.4,1.17,91.60%,6.99%,7,1.22,-3.17,0.74,38.89,1158.86,1.98,0,0.26,0.82,1.59,1.72,4.28%,141.20%,-8.02%,-31.91%,6.41%,7.32%,-9.52%,1.58,0.82,0.84,9.95,3.0/8.0,4.0/9.0,8.0/12.0,14
HP,"Helmerich & Payne, Inc",Energy,Oil & Gas Drilling,NYSE,USD,25.34,2736.72,2.24,,-5.84%,2,2.43,-2.94,0.82,0.0,-11.6,5.08,0,1.54,0.85,0.14,Exposed,9.39%,0.00%,-9.32%,-13.56%,-1.89%,12.74%,-28.03%,4.39,3.52,0.33,13.17,5.25/8.0,2.0/9.0,10.5/12.0,16
RIG,Transocean Ltd,Energy,Oil & Gas Drilling,NYSE,USD,2.74,1418.34,3.75,,1.29%,4,0.11,-2.53,0.12,0.0,24.39,5.31,0,0.44,3.78,0.78,Exposed,0.00%,0.00%,-5.04%,-10.05%,-0.45%,8.73%,-40.64%,2.11,1.42,0.12,1.79,1.75/8.0,1.5/9.0,7.5/12.0,18
LNG,"Cheniere Energy, Inc",Energy,Oil & Gas Midstream,NYSE MKT,USD,66.0,15307.65,1.58,,7.22%,8,0.56,-2.33,-1093.4,14.68,16.04,10.16,0,1.6,4.91,-2198.14,1.68,0.00%,0.00%,1.92%,0.00%,7.71%,6.58%,6.66%,2.25,1.58,0.29,18.7,2.75/8.0,9.5/9.0,7.0/12.0,6
INT,World Fuel Services Corporation,Energy,Oil & Gas Refining & Marketing,NYSE,USD,33.11,2025.4,1.25,115.08%,6.67%,8,7.19,-2.55,1.07,11.96,8.18,3.68,0,0.08,0.13,0.33,3.99,1.21%,15.30%,3.07%,9.66%,8.83%,8.37%,0.49%,1.32,0.97,6.31,63.99,5.75/8.0,5.0/9.0,7.5/12.0,9
MMP,"Magellan Midstream Partners, L.P",Energy,Oil & Gas Midstream,NYSE,USD,45.84,9633.88,1.05,,5.41%,4,1.63,-2.57,inf,10.48,12.18,7.78,0,3.73,6.93,0.0,5.12,8.94%,101.30%,12.61%,38.10%,13.27%,6.22%,37.42%,0.69,0.31,0.34,4.68,3.25/8.0,6.0/9.0,5.5/12.0,8
GNE,Genie Energy Ltd,Utilities,Utilities-Regulated Electric,NYSE,USD,7.52,194.67,0.67,149.26%,14.99%,8,3.9,-2.58,2.05,13.7,16.02,8.11,0,0.54,0.45,0.05,10.0,4.26%,64.00%,1.78%,3.39%,3.47%,4.97%,0.85%,1.57,1.12,2.08,17.19,7.25/8.0,5.0/9.0,9.5/12.0,11
KMI,"Kinder Morgan, Inc",Energy,Oil & Gas Midstream,NYSE,USD,15.32,30948.88,0.97,625.40%,4.56%,4,0.56,-2.81,0.92,263.54,10.6,6.3,0,2.59,6.55,1.02,2.18,6.66%,0.00%,2.85%,6.46%,3.64%,5.04%,16.49%,0.63,0.49,0.17,15.01,1.75/8.0,6.0/9.0,3.5/12.0,10
COG,Cabot Oil & Gas Corporation,Energy,Oil & Gas E&P,NYSE,USD,18.54,6509.02,0.15,206.45%,3.52%,5,3.47,-4.1,3.03,30.34,5.96,8.88,0,4.42,5.52,0.57,15.95,2.16%,75.40%,15.68%,32.13%,16.27%,1.94%,32.96%,1.73,1.64,0.48,84.56,5.5/8.0,10.5/9.0,6.5/12.0,4
SBR,Sabine Royalty Trust,Energy,Oil & Gas E&P,NYSE,USD,29.98,421.01,0.62,579.10%,6.83%,3,281.09,26.1,70.17,10.92,12.64,0.0,0,10.27,13.56,0.0,,8.67%,99.50%,537.81%,778.43%,550.00%,4.45%,93.91%,5.32,5.32,5.73,0.0,4.0/8.0,4.0/9.0,10.5/12.0,12
CVI,"CVR Energy, Inc",Energy,Oil & Gas Refining & Marketing,NYSE,USD,18.77,1504.9,2.07,,-1.97%,3,2.56,-2.99,1.08,0.0,5.36,9.65,0,0.34,1.08,0.81,5.65,10.66%,0.00%,9.73%,28.80%,15.09%,10.31%,5.97%,2.17,1.4,1.63,14.71,2.0/8.0,9.0/9.0,9.5/12.0,4
DRQ,"Dril-Quip, Inc",Energy,Oil & Gas Equipment & Services,NYSE,USD,33.1,1066.32,1.54,,-0.23%,3,8.02,-2.4,0.98,0.0,28.77,266.58,0,2.76,3.35,0.0,,0.00%,0.00%,0.14%,0.16%,0.14%,9.98%,0.41%,9.08,6.68,0.35,1.49,4.75/8.0,2.5/9.0,6.5/12.0,15
RES,"RPC, Inc",Energy,Oil & Gas Equipment & Services,NYSE,USD,3.87,667.8,2.14,,-9.64%,3,4.33,-3.23,0.8,0.0,18.33,3.91,0,0.97,1.6,0.0,No Debt,0.00%,0.00%,-7.76%,-9.82%,-3.89%,13.19%,-7.15%,4.31,3.12,1.09,7.97,6.0/8.0,1.5/9.0,7.0/12.0,17
DWSN,Dawson Geophysical Company,Energy,Oil & Gas Equipment & Services,NASDAQ,USD,2.75,48.76,2.0,,-32.26%,5,1.85,-3.28,0.47,0.0,5.31,1.48,0,0.44,0.34,0.04,No Debt,0.00%,0.00%,-10.93%,-13.82%,-16.24%,10.23%,-10.44%,3.59,2.91,1.05,0.0,6.0/8.0,5.0/9.0,12.0/12.0,8
GHM,Graham Corporation,Industrials,Specialty Industrial Machinery,NYSE,USD,16.97,169.7,0.84,296.59%,1.89%,3,4.13,-2.3,1.75,98.99,13.21,169.7,0,1.82,0.57,0.0,,2.59%,293.30%,1.23%,1.91%,1.34%,5.80%,2.07%,2.57,2.1,0.6,3.06,4.75/8.0,0.0/9.0,7.0/12.0,20
NOV,NOV Inc,Energy,Oil & Gas Equipment & Services,NYSE,USD,13.41,5272.32,2.22,,-1.30%,6,1.52,-2.76,0.68,0.0,-1.92,4.35,0,0.75,1.59,0.26,Exposed,0.75%,0.00%,-37.00%,-56.44%,-3.34%,9.55%,-71.88%,2.72,1.63,0.51,2.95,4.75/8.0,0.0/9.0,11.0/12.0,17
APOG,"Apogee Enterprises, Inc",Industrials,Building Products & Equipment,NASDAQ,USD,37.88,984.88,1.21,184.79%,9.05%,7,3.02,-2.72,1.9,14.21,7.78,5.66,0,0.78,0.83,0.42,11.0,1.98%,28.40%,5.64%,12.22%,7.41%,6.87%,4.46%,1.38,1.03,1.26,14.34,6.5/8.0,4.5/9.0,7.0/12.0,9
LPX,Louisiana-Pacific Corporation,Industrials,Building Products & Equipment,NYSE,USD,40.03,4200.21,1.82,221.71%,10.02%,7,5.33,-1.87,4.24,21.56,32.34,9.57,0,1.7,1.54,0.35,4.47,1.42%,32.60%,-0.23%,-0.37%,5.23%,11.04%,-0.22%,2.54,1.41,1.06,7.46,5.5/8.0,5.5/9.0,5.5/12.0,16
FLR,Fluor Corporation,Industrials,Engineering & Construction,NYSE,USD,20.45,2235.8,2.87,,-0.88%,5,2.27,-4.38,1.5,0.0,-2.32,7.55,0,0.17,0.18,1.14,Exposed,0.98%,0.00%,-18.03%,-68.40%,-13.24%,11.75%,-10.61%,1.4,1.01,1.7,0.0,3.0/8.0,0.0/9.0,6.5/12.0,20
SUM,"Summit Materials, Inc",Basic Materials,Building Materials,NYSE,USD,23.68,2289.12,1.37,286.42%,5.08%,7,1.36,-2.68,1.6,16.59,10.32,5.85,0,1.01,1.91,1.3,1.83,0.00%,0.00%,1.49%,4.29%,4.73%,6.56%,2.66%,2.66,1.93,0.56,7.28,1.75/8.0,5.0/9.0,7.5/12.0,13
GFF,Griffon Corporation,Industrials,Tools & Accessories,NYSE,USD,23.6,1062.0,2.02,,8.28%,4,2.13,-2.31,1.52,19.93,8.83,7.93,0,0.44,0.78,1.5,2.31,1.27%,25.20%,2.36%,9.07%,5.55%,8.06%,2.22%,2.48,1.45,1.06,4.13,1.75/8.0,6.5/9.0,14.5/12.0,7
HIL,"Hill International, Inc",Industrials,Engineering & Construction,NYSE,USD,2.3,109.44,2.0,116.93%,5.70%,4,1.91,-2.49,1.0,17.85,8.44,8.42,0,0.3,0.63,0.39,2.67,0.00%,0.00%,5.27%,13.86%,9.33%,11.98%,3.74%,1.87,1.72,1.41,0.0,3.25/8.0,4.5/9.0,11.5/12.0,10
PLPC,Preformed Line Products Company,Industrials,Electrical Equipment & Parts,NASDAQ,USD,69.71,342.2,1.07,83.98%,14.06%,5,4.08,-2.31,1.27,10.43,7.11,8.56,0,0.74,0.72,0.25,17.5,1.15%,12.30%,5.88%,9.00%,8.33%,6.55%,5.24%,2.86,1.51,1.12,3.36,5.75/8.0,7.0/9.0,12.5/12.0,5
EML,The Eastern Company,Industrials,Tools & Accessories,NASDAQ,USD,25.5,144.6,1.11,,6.24%,3,2.56,-2.29,1.38,16.46,10.89,5.36,0,0.58,1.09,0.94,10.0,1.73%,30.80%,5.74%,13.11%,8.48%,5.76%,5.27%,3.6,1.75,1.09,3.52,2.75/8.0,6.0/9.0,11.5/12.0,11
ULBI,Ultralife Corporation,Industrials,Specialty Industrial Machinery,NASDAQ,USD,6.8,103.52,1.56,118.58%,5.46%,4,2.58,-1.14,0.94,21.51,12.82,4.5,0,0.94,1.17,0.15,7.0,0.00%,0.00%,3.93%,4.86%,5.36%,10.17%,4.87%,4.09,2.18,0.81,2.87,3.0/8.0,6.0/9.0,12.0/12.0,10
FCEL,"FuelCell Energy, Inc",Industrials,Electrical Equipment & Parts,NASDAQ,USD,18.13,4024.86,5.33,,-8.18%,1,6.06,0.3,15.85,0.0,-8.83,0.0,0,56.69,6.72,0.68,Exposed,0.00%,0.00%,-21.57%,-68.40%,-12.11%,31.94%,-130.43%,3.97,2.84,0.17,1.49,3.0/8.0,3.0/9.0,5.0/12.0,20
EBF,"Ennis, Inc",Industrials,Business Equipment & Supplies,NYSE,USD,18.7,486.2,0.46,157.33%,8.23%,6,6.87,-2.5,1.65,17.5,6.42,9.0,0,1.3,1.2,0.0,,4.81%,84.90%,10.51%,13.13%,14.14%,3.51%,8.73%,3.95,2.93,1.2,8.83,6.75/8.0,7.0/9.0,11.5/12.0,5
DCI,"Donaldson Company, Inc",Industrials,Specialty Industrial Machinery,NYSE,USD,59.4,7603.2,1.35,411.06%,5.13%,5,6.51,-2.89,7.7,30.04,15.02,17.68,0,2.99,2.6,0.64,20.0,1.41%,42.60%,11.72%,27.42%,15.66%,8.27%,9.95%,2.7,1.7,1.18,5.21,4.5/8.0,7.0/9.0,3.5/12.0,12
RAVN,"Raven Industries, Inc",Industrials,Specialty Industrial Machinery,NASDAQ,USD,35.65,1283.4,1.47,457.39%,2.00%,4,11.29,-1.95,4.07,58.88,19.66,20.37,0,3.63,3.11,0.0,,1.09%,65.00%,9.22%,11.29%,11.14%,9.57%,9.20%,3.76,2.23,1.0,4.8,4.5/8.0,8.0/9.0,3.5/12.0,11
AZZ,AZZ Inc,Industrials,Electrical Equipment & Parts,NYSE,USD,48.74,1267.24,1.55,572.38%,6.41%,6,3.81,-2.81,2.0,98.47,8.94,9.6,0,1.43,1.3,0.32,7.54,1.40%,138.80%,4.46%,7.79%,7.79%,8.97%,4.54%,1.26,0.88,0.98,7.33,4.5/8.0,3.5/9.0,8.0/12.0,13
LXFR,Luxfer Holdings PLC,Industrials,Specialty Industrial Machinery,NYSE,USD,16.86,456.54,0.95,313.46%,5.73%,4,3.38,-2.04,2.62,42.79,20.45,8.15,0,1.19,1.55,0.52,9.4,2.97%,135.10%,0.79%,1.73%,3.87%,5.78%,0.70%,2.38,0.95,1.14,3.57,3.0/8.0,1.5/9.0,4.5/12.0,19
