Sector,Industry,PE Ratio,PE Ratio without NRI,Shiller PE Ratio,EV-to-EBIT,EV-to-EBITDA,EV-to-Revenue,PS Ratio,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,Price-to-Median-PS-Value,Dividend Yield %,Dividend Payout Ratio,Gross Margin %,Net Margin %,Operating Margin %,Pre-Tax Margin %,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Altman Z-Score,Piotroski F-Score,Beneish M-Score,Debt-to-Equity,Cash-to-Debt,Equity-to-Asset,Days Sales Outstanding,Days Inventory,Days Payable,Cash Conversion Cycle,Forward Rate of Return (Yacktman) %,Current Ratio,Quick Ratio,Interest Coverage,Beta,5-Year Revenue Growth Rate,10-Year Revenue Growth Rate
Consumer Cyclical,Retail - Cyclical,22.37,22.11,17.04,9.59,8.33,0.94,0.72,1.62,1.79,10.23,7.89,1.01,0.0207,0.46,0.34990000000000004,0.0106,0.0265,0.0175,0.0297,0.0128,0.0673,0.024700000000000003,0.061,2.5,5,-2.89,0.67,0.52,0.41,17.49,105.65,53.56,62.99,0.0886,1.49,0.89,8.47,0.91,0.024,0.026000000000000002
Consumer Cyclical,Travel & Leisure,24.53,24.8,21.27,-2.74,8.32,2.96,1.92,1.63,1.76,16.24,11.8,1.16,0.0199,0.58,0.3958,-0.0535,-0.024399999999999998,-0.0574,-0.030299999999999997,-0.018500000000000003,-0.0138,-0.0074,0.0647,1.6,4,-2.76,0.5,0.47,0.47,33.89,38.2,61.98,13.61,0.041299999999999996,1.36,1.15,5.52,1.03,0.027000000000000003,0.033
Consumer Defensive,Overall,19.91,19.98,20.25,12.11,9.39,1.32,1.11,1.69,1.9,16.25,10.81,1.05,0.0195,0.4,0.29350000000000004,0.031,0.051399999999999994,0.044000000000000004,0.0663,0.0308,0.1108,0.0479,0.0512,2.9,5,-2.7,0.45,0.55,0.5,37.77,70.45,47.48,57.57,0.0809,1.56,1.04,9.6,0.71,0.031,0.035
Consumer Defensive,Beverages - Alcoholic,24.8,24.86,24.75,15.0,11.72,2.19,1.89,1.97,2.37,20.55,12.54,1.25,0.018799999999999997,0.48,0.4201,0.052300000000000006,0.09,0.077,0.061200000000000004,0.031,0.13140000000000002,0.0436,0.0542,2.93,5,-2.75,0.4,0.78,0.51,47.03,161.3,90.61,124.29,0.0808,1.64,0.92,13.59,0.84,0.036000000000000004,0.04
Consumer Defensive,Beverages-Non-Alcoholic,24.0,23.16,20.33,12.82,10.4,1.69,1.47,2.31,3.16,17.72,12.41,1.13,0.026099999999999998,0.54,0.3971,0.0582,0.09119999999999999,0.0782,0.09960000000000001,0.0397,0.1604,0.0683,0.0509,3.36,6,-2.72,0.38,0.77,0.56,44.38,57.9,59.95,37.76,0.092,1.52,1.11,14.5,0.66,0.011000000000000001,0.042
Consumer Defensive,Consumer Packaged Goods,19.57,19.79,19.51,11.7,9.38,1.27,1.05,1.56,1.72,16.76,11.26,1.06,0.018600000000000002,0.37,0.2699,0.0319,0.0533,0.0441,0.0629,0.029300000000000003,0.1039,0.047400000000000005,0.0527,2.86,5,-2.65,0.43,0.49,0.52,40.11,77.67,46.1,69.07,0.0726,1.63,1.06,9.27,0.71,0.03,0.033
Consumer Defensive,Education & Training Services,21.43,20.31,18.11,12.34,9.18,2.35,2.38,1.82,2.5,18.77,11.77,1.01,0.0218,0.52,0.4964,0.0478,0.0722,0.066,0.065,0.030899999999999997,0.1263,0.0417,0.061500000000000006,2.46,5,-2.7,0.4,1.36,0.51,25.09,8.13,28.02,9.3,0.1149,1.36,1.33,10.71,0.85,0.045,0.026000000000000002
Consumer Defensive,Retail - Defensive,18.18,18.66,23.6,12.58,8.73,0.57,0.45,1.84,2.02,11.39,7.9,1.0,0.019,0.32,0.2419,0.0159,0.029500000000000002,0.0248,0.0796,0.030299999999999997,0.12,0.0506,0.039599999999999996,3.18,5,-2.84,0.89,0.41,0.37,19.33,36.03,43.47,10.54,0.10220000000000001,1.28,0.8,8.48,0.53,0.033,0.0405
Consumer Defensive,Tobacco,16.02,15.66,12.93,8.82,7.43,2.38,2.56,5.89,5.48,12.8,11.13,0.88,0.062,0.87,0.48369999999999996,0.0919,0.1355,0.147,0.115,0.068,0.6093999999999999,0.0933,0.046900000000000004,4.12,5,-2.66,0.12,1.79,0.49,35.01,227.64,41.17,144.97,0.0944,1.82,1.13,22.64,0.79,0.033,0.039
Energy,Overall,12.94,12.84,11.97,-0.16,4.53,1.53,0.85,0.99,1.09,7.8,4.41,0.66,0.045,0.6,0.2072,-0.019799999999999998,0.0212,-0.018500000000000003,-0.0296,-0.019299999999999998,-0.0017000000000000001,0.0064,0.0783,1.24,4,-2.94,0.5,0.4,0.44,39.48,32.0,48.04,21.43,0.0475,1.4,1.15,3.95,1.41,0.001,-0.002
Energy,Oil & Gas,13.45,13.25,12.19,-0.56,4.51,1.6,0.83,0.98,1.08,7.85,4.37,0.66,0.0452,0.65,0.2046,-0.0319,0.018600000000000002,-0.0341,-0.0366,-0.0229,-0.0077,0.0062,0.0815,1.21,4,-2.97,0.52,0.36,0.44,39.57,30.8,46.24,21.64,0.0431,1.39,1.14,3.8,1.52,-0.006,-0.002
Energy,Other Energy Sources,11.95,11.64,9.76,4.96,4.58,1.36,0.93,1.05,1.23,6.8,4.58,0.7,0.042,0.51,0.22940000000000002,0.0174,0.0555,0.024399999999999998,0.0085,-0.0006,0.0361,0.0089,0.0583,1.49,4,-2.61,0.42,0.68,0.45,38.5,35.6,79.85,12.93,0.1167,1.49,1.22,5.29,0.93,0.047,-0.006999999999999999
Financial Services,Overall,13.73,13.56,13.24,5.35,5.39,2.37,2.81,0.99,1.03,8.12,8.08,0.91,0.038,0.43,0.5085000000000001,0.22219999999999998,0.136,0.28559999999999997,0.043899999999999995,0.0076,0.0698,0.0105,0.057800000000000004,2.18,5,-2.44,0.39,2.16,0.32,57.85,62.6,69.72,13.65,0.0659,2.96,2.73,82.15,0.82,0.045,0.038
Financial Services,Asset Management,21.1,21.13,14.41,6.71,6.63,2.69,10.65,1.04,1.04,13.12,15.07,0.99,0.04769999999999999,0.94,0.5197999999999999,0.9493,0.1442,0.9640000000000001,-0.001,-0.0012,0.2249,0.0171,0.0432,3.16,5,-2.48,0.23,18.86,0.83,51.23,67.43,64.96,17.82,0.037000000000000005,3.0,2.84,47.15,0.82,0.04,0.039
Financial Services,Banks,11.51,11.46,12.35,13.11,12.64,2.2,2.38,0.86,0.93,6.86,6.09,0.89,0.0344,0.37,0.4594,0.21280000000000002,0.132,0.2781,0.0781,0.008,0.1358,0.0212,0.0745,1.17,4,-2.41,0.63,1.55,0.1,24.71,,,-10.81,0.0762,1.86,1.86,6112.98,0.86,0.044000000000000004,0.032
Financial Services,Capital Markets,16.17,15.81,16.48,4.3,4.43,3.28,3.55,1.17,1.2,8.03,8.12,0.94,0.0219,0.35,0.5002,0.1414,0.11720000000000001,0.1877,0.045599999999999995,0.0151,0.11019999999999999,0.0192,0.0643,2.23,5,-2.42,0.3,2.79,0.51,66.14,65.03,111.47,19.62,0.0764,2.37,2.18,31.55,0.74,0.02,0.033
Financial Services,Insurance,12.84,12.5,13.76,7.43,7.1,0.93,1.07,1.07,1.19,7.93,7.22,0.88,0.032799999999999996,0.43,0.40950000000000003,0.0596,0.0926,0.0796,0.07440000000000001,0.0138,0.4008,0.0167,0.0552,2.6,5,-2.51,0.24,2.51,0.25,59.24,16.09,59.16,4.21,0.1363,1.63,1.6,12.74,0.8,0.055999999999999994,0.057
Financial Services,Diversified Financial Services,32.72,47.23,15.84,-61.84,-55.31,2.96,4.22,1.27,1.27,13.65,22.97,1.02,0.022400000000000003,0.34,0.3958,0.0895,0.0962,0.12269999999999999,-0.0016,-0.0013,-0.7393000000000001,-0.006500000000000001,0.061799999999999994,1.27,4,-2.64,0.12,No Debt,0.26,81.74,61.43,90.3,0.97,0.0641,3.96,3.78,No Debt,0.66,0.006,
Financial Services,Credit Services,13.4,13.3,9.9,13.39,12.01,5.52,2.49,0.84,0.87,4.9,4.16,0.92,0.028900000000000002,0.37,0.5521,0.1259,0.1946,0.1686,0.0495,0.014199999999999999,0.051,0.0217,0.054400000000000004,1.59,4,-2.64,1.3,0.29,0.36,70.99,58.74,45.57,14.5,0.0040999999999999995,4.47,4.01,782.46,0.83,0.081,0.052000000000000005
Healthcare,Overall,28.87,29.02,33.09,-1.28,0.08,4.87,4.74,3.51,4.39,27.68,19.63,1.08,0.011899999999999999,0.33,0.4984,-0.002,0.0172,0.0011,-0.0406,-0.0431,-0.075,-0.030299999999999997,0.0704,3.69,4,-2.66,0.21,2.43,0.6,65.28,131.21,75.51,98.68,0.09759999999999999,2.68,2.2,17.9,0.98,0.062,0.059000000000000004
Healthcare,Biotechnology,45.77,45.92,49.6,-5.59,-5.41,18.01,20.03,4.65,5.28,44.87,30.48,0.98,0.0073,0.27,0.5951,-1.8248,-1.7919999999999998,-1.8462,-0.4621,-0.35259999999999997,-4.022,-1.0159,0.08439999999999999,4.54,3,-2.57,0.1,10.13,0.66,66.83,169.38,107.8,83.75,0.0908,5.03,4.86,84.45,1.23,0.028999999999999998,0.03
Healthcare,Drug Manufacturers,24.81,24.28,29.01,9.5,8.94,2.91,2.79,2.43,2.91,25.08,18.73,0.93,0.0124,0.32,0.49219999999999997,0.047400000000000005,0.0742,0.063,0.0478,0.0219,0.0917,0.0385,0.0757,3.44,5,-2.54,0.25,1.08,0.61,75.44,148.46,85.51,137.65,0.09029999999999999,2.23,1.61,14.74,1.01,0.065,0.064
Healthcare,Healthcare Plans,18.11,18.11,24.33,12.93,9.44,0.78,0.73,2.37,5.75,12.96,10.34,0.91,0.011899999999999999,0.32,0.2777,0.0431,0.076,0.059500000000000004,0.1209,0.0518,0.6103999999999999,0.0676,0.051,4.1,7,-2.46,0.51,0.76,0.41,36.03,28.45,24.18,20.46,0.1368,1.69,1.63,7.7,0.8,0.099,0.126
Healthcare,Healthcare Providers & Services,29.75,30.76,32.43,14.08,11.3,2.36,2.04,2.89,4.21,18.6,13.34,1.18,0.0147,0.41,0.40340000000000004,0.0213,0.0484,0.0338,0.0484,0.0158,0.0889,0.034,0.055999999999999994,2.66,5,-2.78,0.44,0.7,0.48,45.08,32.04,61.78,23.01,0.10640000000000001,1.4,1.22,10.17,0.82,0.076,0.068
Healthcare,Medical Devices & Instruments,33.94,33.54,43.84,2.59,6.35,5.35,5.07,4.18,5.33,34.47,22.77,1.34,0.0104,0.33,0.5357999999999999,0.0106,0.024399999999999998,0.01,0.0086,-0.008100000000000001,0.0102,-0.0015,0.059800000000000006,4.58,4,-2.74,0.24,2.26,0.63,66.31,170.9,67.67,151.54,0.0908,2.73,2.08,23.25,0.86,0.061500000000000006,0.054000000000000006
Healthcare,Diagnostics & Research,38.43,37.69,60.13,-0.7,6.12,6.88,6.51,5.0,6.69,37.36,27.87,1.56,0.0078000000000000005,0.34,0.5124,-0.0077,0.026699999999999998,-0.0088,-0.0123,-0.0176,-0.0282,-0.0132,0.0629,4.59,4,-2.57,0.24,1.57,0.56,68.09,85.19,64.52,90.98,0.13369999999999999,2.65,2.22,19.53,0.85,0.055999999999999994,0.038
Healthcare,Medical Distribution,17.35,18.18,20.36,9.46,8.46,0.44,0.45,1.48,1.71,15.45,8.96,0.92,0.0208,0.35,0.15789999999999998,0.0146,0.030699999999999998,0.0222,0.0646,0.021,0.1499,0.056100000000000004,0.048499999999999995,2.77,5,-2.59,0.59,0.62,0.35,64.05,46.76,71.01,39.46,0.0748,1.35,1.04,8.53,0.73,0.054000000000000006,0.0705
Industrials,Overall,19.97,19.62,17.63,10.44,8.85,1.27,1.02,1.45,1.59,13.1,9.4,1.05,0.0203,0.36,0.2422,0.029500000000000002,0.0527,0.0418,0.049100000000000005,0.0219,0.1005,0.0403,0.062,2.37,5,-2.7,0.44,0.69,0.48,68.54,81.57,63.25,72.87,0.077,1.66,1.31,8.96,1.0,0.037000000000000005,0.035
Industrials,Aerospace & Defense,26.64,27.24,24.86,9.69,8.11,1.71,1.49,2.06,2.75,15.91,11.36,1.11,0.0155,0.34,0.2546,0.030600000000000002,0.061799999999999994,0.0331,0.0432,0.015700000000000002,0.0726,0.0338,0.0688,2.1,5,-2.73,0.39,0.54,0.43,61.26,132.7,66.56,127.22,0.0576,1.61,1.19,9.12,1.11,0.0365,0.032
Industrials,Business Services,20.42,19.89,19.6,9.43,7.78,1.23,1.06,1.92,2.17,13.09,9.46,1.04,0.023,0.4,0.3185,0.025099999999999997,0.047400000000000005,0.0377,0.0536,0.0225,0.129,0.0435,0.06309999999999999,2.94,5,-2.78,0.47,0.86,0.48,57.28,35.54,46.69,38.57,0.10949999999999999,1.67,1.55,13.2,0.98,0.049,0.044000000000000004
